訂單編號,訂單日期,來源,聯絡人,聯絡方式,入住日,退房日,人數,男,女,未定,盡量同房,需要私人房,狀態,金額,已收,備註
DIR-2027-0001,2027-01-04,官網,Tanaka Yuto,yuto.t@example.jp,2027-02-01,2027-02-05,2,2,0,0,是,否,確認,40000,40000,兩個都要下鋪
BKG-4471932,2027-01-06,Booking.com,Chen Wei-Ling,+886 912 345 678,2027-02-01,2027-02-04,1,0,1,0,是,否,確認,15000,15000,第一次滑雪 想租裝備
DIR-2027-0002,2027-01-09,電話,Kim Minseok,+82 10 2345 6789,2027-02-02,2027-02-08,3,3,0,0,是,否,確認,90000,30000,餘額到埗付
DIR-2027-0003,2027-01-11,官網,Lau Ka Ho,kaho.lau@example.hk,2027-02-04,2027-02-07,2,1,1,0,是,否,確認,30000,30000,23:00 後到 會先通知
AGD-88120455,2027-01-12,Agoda,Sato Aoi,aoi.sato@example.jp,2027-02-05,2027-02-06,1,0,1,0,是,否,確認,5000,5000,
DIR-2027-0004,2027-01-15,電話,Wong Chi Keung,+852 9123 4567,2027-02-05,2027-02-19,1,1,0,0,是,否,確認,70000,20000,滑雪教練 長住 每兩星期結一次
BKG-4478821,2027-01-16,Booking.com,Yamamoto Rin,rin.y@example.jp,2027-02-06,2027-02-09,4,0,4,0,是,否,確認,60000,60000,大學同學 想同一間房
WLK-2027-0001,2027-02-06,Walk-in,現場客,-,2027-02-06,2027-02-07,1,0,0,1,是,否,確認,5500,5500,現金 未問性別
AGD-88134902,2027-01-20,Agoda,Park Jiwon,jiwon.p@example.kr,2027-02-07,2027-02-10,2,0,2,0,是,否,確認,30000,30000,
DIR-2027-0005,2027-01-21,官網,Nguyen Mai,mai.n@example.vn,2027-02-08,2027-02-22,1,0,1,0,是,否,確認,70000,70000,遠端工作 需要枱
EXP-77401238,2027-01-22,Expedia,Ito Haruki,haruki.i@example.jp,2027-02-09,2027-02-11,3,2,0,1,否,否,確認,30000,30000,同事 分開瞓都得
DIR-2027-0006,2027-01-24,官網,Cheung Ho Yin,hoyin.c@example.hk,2027-02-10,2027-02-13,2,1,1,0,是,是,確認,45000,45000,蜜月 已加購房價
BKG-4482017,2027-01-25,Booking.com,Suzuki Nana,nana.s@example.jp,2027-02-11,2027-02-14,2,0,2,0,是,否,已取消,30000,0,平台自動退款
AGD-88150771,2027-01-26,Agoda,No Show,-,2027-02-12,2027-02-15,1,1,0,0,是,否,No-show,15000,15000,冇出現 冇聯絡
